talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
next-generation-radioligand-therapy::sutcliffe::1,Julie Sutcliffe,"University of California, Davis; Founder and CEO of Luminance Biosciences",next-generation-radioligand-therapy,pancreatic cancer; breast cancer; colon cancer; lung cancer; ovarian carcinoma; neuroblastoma,phase_1,Safety,"no SAEs, no grade ≥3 toxicities",,10 patients at top dose,pancreatic cancer,,primary_endpoint_met
next-generation-radioligand-therapy::lewis::2,Jason Lewis,Memorial Sloan Kettering Cancer Center,next-generation-radioligand-therapy,small cell lung cancer; neuroendocrine prostate cancer; pancreatic neuroendocrine tumor; neuroblastoma,phase_1,Lesion detection,Detected 2 DLL3‑positive lesions out of 74 total lesions in a neuroendocrine prostate patient,,1 patient,neuroendocrine prostate cancer,FDG‑PET,exploratory
next-generation-radioligand-therapy::lewis::2,Jason Lewis,Memorial Sloan Kettering Cancer Center,next-generation-radioligand-therapy,small cell lung cancer; neuroendocrine prostate cancer; pancreatic neuroendocrine tumor; neuroblastoma,phase_1,Preclinical tumor regression,Complete regression of SHP77 DLL3‑positive xenografts with actinium‑225 peptide,,1 model,DLL3‑positive small cell lung cancer xenograft,,preclinical
next-generation-radioligand-therapy::(novartis)::3,Marcus (Novartis),Novartis,next-generation-radioligand-therapy,non‑small cell lung cancer; pancreatic ductal adenocarcinoma; breast cancer; neuroendocrine tumors; multiple solid tumors,mixed,Tumor dose (Gy),15–30 Gy per lesion,,multiple lesions in early FAP trial,solid tumor patients,,interim
next-generation-radioligand-therapy::(novartis)::3,Marcus (Novartis),Novartis,next-generation-radioligand-therapy,non‑small cell lung cancer; pancreatic ductal adenocarcinoma; breast cancer; neuroendocrine tumors; multiple solid tumors,mixed,Safety,No SAEs reported at initial dose levels,,5 patients,FAP‑positive solid tumors,,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::eric::1,Eric,Innate Pharma,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,non-small cell lung cancer; acute myeloid leukemia; multiple myeloma; pancreatic cancer; ovarian cancer,mixed,PFS,90% at 12 months,,n=1051 patients,stage 3 non-resectable NSCLC in COAST trial,Durvalumab alone,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::homi::2,Rizwan Homi,Dana‑Farber Cancer Institute,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,acute myeloid leukemia; myelodysplastic syndrome; head and neck cancer; ovarian cancer; pancreatic cancer; mesothelioma,mixed,CR,4/8 patients,,n=8,relapsed AML post‑stem cell transplant,,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::homi::2,Rizwan Homi,Dana‑Farber Cancer Institute,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,acute myeloid leukemia; myelodysplastic syndrome; head and neck cancer; ovarian cancer; pancreatic cancer; mesothelioma,mixed,PFS,median 4–6 months,,n=8,AML cohort,,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::homi::2,Rizwan Homi,Dana‑Farber Cancer Institute,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,acute myeloid leukemia; myelodysplastic syndrome; head and neck cancer; ovarian cancer; pancreatic cancer; mesothelioma,mixed,ORR,7/10 patients,,n=10,refractory head and neck cancer,,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::lu::3,Tim Lu,Senti Bio,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,acute myeloid leukemia,phase_1,ORR,≈50%,,n≈20,relapsed/refractory AML,,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::lu::3,Tim Lu,Senti Bio,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,acute myeloid leukemia,phase_1,CR/CRh rate,30‑40%,,n≈20,AML cohort,,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::lu::3,Tim Lu,Senti Bio,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,acute myeloid leukemia,phase_1,MRD‑negative rate,majority of responders,,n≈20,AML responders,,interim
nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic::lu::3,Tim Lu,Senti Bio,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,acute myeloid leukemia,phase_1,Duration of CR,median 7.6 months,,n≈20,AML responders,,interim
non-invasive-early-detection-of-single-site-cancers::unknown::1,unknown,unspecified,non-invasive-early-detection-of-single-site-cancers,pancreatic ductal adenocarcinoma,unspecified,enrollment,"11,550 patients",,"n=11,550",high‑risk individuals enrolled in PRECEDE,,interim
non-invasive-early-detection-of-single-site-cancers::unknown::1,unknown,unspecified,non-invasive-early-detection-of-single-site-cancers,pancreatic ductal adenocarcinoma,unspecified,screen‑detected cancers,42 cases,,n=42,participants with screen‑detected pancreatic cancer,,interim
non-invasive-early-detection-of-single-site-cancers::unknown::1,unknown,unspecified,non-invasive-early-detection-of-single-site-cancers,pancreatic ductal adenocarcinoma,unspecified,early‑stage detection rate,72%,,n=42,screen‑detected cancers,,interim
non-invasive-early-detection-of-single-site-cancers::markowitz::2,Sandy Markowitz,Case Western Reserve University,non-invasive-early-detection-of-single-site-cancers,esophageal adenocarcinoma,phase_2,sensitivity for non‑dysplastic Barrett's detection,90%,,n=120,high‑risk asymptomatic individuals,,interim
non-invasive-early-detection-of-single-site-cancers::markowitz::2,Sandy Markowitz,Case Western Reserve University,non-invasive-early-detection-of-single-site-cancers,esophageal adenocarcinoma,phase_2,specificity for non‑dysplastic Barrett's detection,92%,,n=120,high‑risk asymptomatic individuals,,interim
non-invasive-early-detection-of-single-site-cancers::markowitz::2,Sandy Markowitz,Case Western Reserve University,non-invasive-early-detection-of-single-site-cancers,esophageal adenocarcinoma,phase_2,PPV in pilot high‑risk cohort,33%,,n=34 test‑positive,asymptomatic high‑risk individuals,,interim
non-invasive-early-detection-of-single-site-cancers::markowitz::2,Sandy Markowitz,Case Western Reserve University,non-invasive-early-detection-of-single-site-cancers,esophageal adenocarcinoma,phase_2,NPV in pilot high‑risk cohort,100%,,n=86 test‑negative,asymptomatic high‑risk individuals,,interim
non-invasive-early-detection-of-single-site-cancers::markowitz::2,Sandy Markowitz,Case Western Reserve University,non-invasive-early-detection-of-single-site-cancers,esophageal adenocarcinoma,phase_2,cancer detection rate,100% (1 missed),,n=~4 cancers across trials,Barrett's patients across four cohorts,,interim
non-invasive-early-detection-of-single-site-cancers::markowitz::2,Sandy Markowitz,Case Western Reserve University,non-invasive-early-detection-of-single-site-cancers,esophageal adenocarcinoma,phase_2,BAD Very Bad detection of cancers,96%,,n=25 cancers,validation cohort,,interim
non-invasive-early-detection-of-single-site-cancers::markowitz::2,Sandy Markowitz,Case Western Reserve University,non-invasive-early-detection-of-single-site-cancers,esophageal adenocarcinoma,phase_2,Relative risk of recurrence with methylated CCNA1 post‑ablation,25-fold,,n=80,post‑ablation patients,,interim
non-invasive-early-detection-of-single-site-cancers::yala::3,Adam Yala,"University of California, Berkeley",non-invasive-early-detection-of-single-site-cancers,,unspecified,AUC for 5‑year breast cancer risk,higher than Tyrer‑Cuzick (exact value not specified),,,multicenter breast imaging cohorts,Tyrer‑Cuzick,interim
non-invasive-early-detection-of-single-site-cancers::yala::3,Adam Yala,"University of California, Berkeley",non-invasive-early-detection-of-single-site-cancers,,unspecified,AUC for lung cancer risk from CT,higher than questionnaire‑based model,,,multicenter lung CT cohorts,clinical questionnaire,interim
non-invasive-early-detection-of-single-site-cancers::yala::3,Adam Yala,"University of California, Berkeley",non-invasive-early-detection-of-single-site-cancers,,unspecified,accuracy across 100+ radiology findings,82‑90% average ACC,,,"external validation datasets (Taiwan, MGH)","Google, Microsoft, Alibaba models",interim
nonclinical-models-of-cancer::mohan::2,Thangaraj Warren Mohan,University of Texas at San Antonio,nonclinical-models-of-cancer,breast cancer,preclinical,tumor incidence,higher in aged mice,,n=multiple cohorts,aged (22 mo) vs young (2 mo) mice,,interim
nonclinical-models-of-cancer::mohan::2,Thangaraj Warren Mohan,University of Texas at San Antonio,nonclinical-models-of-cancer,breast cancer,preclinical,tumor onset,earlier in aged mice,,,aged cohort,young cohort,interim
nonclinical-models-of-cancer::mohan::2,Thangaraj Warren Mohan,University of Texas at San Antonio,nonclinical-models-of-cancer,breast cancer,preclinical,Ki‑67 proliferation index,high in mid‑aged and aged glands,,,tumor‑adjacent glands,,interim
nonclinical-models-of-cancer::mohan::2,Thangaraj Warren Mohan,University of Texas at San Antonio,nonclinical-models-of-cancer,breast cancer,preclinical,tumor growth rate,slower in aged mice despite earlier onset,,,aged vs young tumors,,interim
nonclinical-models-of-cancer::abosh::3,Philip Abosh,Fox Chase Cancer Center,nonclinical-models-of-cancer,bladder cancer,preclinical,tumor volume change,shrinkage with alpelisib,,n=multiple mice per group,immunocompetent mice with CAF co‑engraftment,vehicle,interim
nonclinical-models-of-cancer::abosh::3,Philip Abosh,Fox Chase Cancer Center,nonclinical-models-of-cancer,bladder cancer,preclinical,Ki‑67 expression,decreased with alpelisib (p<0.05),,,treated tumors,vehicle,interim
nonclinical-models-of-cancer::berg::6,Felix Berg,Vitrosken (Netherlands),nonclinical-models-of-cancer,ovarian cancer; non-small cell lung cancer; bladder cancer; colorectal cancer,preclinical,progression‑free survival,longer in ex vivo high‑responders,,cohort of ovarian cancer patients,patients stratified by ex vivo response,low‑responder group,interim
nonclinical-models-of-cancer::aeou::7,Erika Van Aeou,Elephas BioScience,nonclinical-models-of-cancer,multiple solid tumors,preclinical,clinical response concordance,93% concordance between ex vivo eLive index and patient outcome,,28 patients with matched clinical data,ICI‑treated solid tumor patients,,interim
noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke::ando::5,Yoriko Ando,"Clive Inc., Japan",noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke,NSCLC,clinical_trial,AUC,0.94,,"n=278 cancer, n=213 control (training)",lung cancer vs non‑cancer,,primary_endpoint_met
noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke::ando::5,Yoriko Ando,"Clive Inc., Japan",noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke,NSCLC,clinical_trial,Sensitivity,88%,,n=~140 early‑stage cases,stage 0‑I NSCLC,,primary_endpoint_met
noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke::ando::5,Yoriko Ando,"Clive Inc., Japan",noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke,NSCLC,clinical_trial,Specificity,87%,,n=213 controls,non‑cancer controls,,primary_endpoint_met
noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke::ando::5,Yoriko Ando,"Clive Inc., Japan",noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke,NSCLC,clinical_trial,Hazard Ratio (RFS),8.3,,n=111,stage I‑II resected lung cancer,,secondary_endpoint
noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke::ando::5,Yoriko Ando,"Clive Inc., Japan",noncoding-rna-regulation-of-cancer-hallmarks-therapeutic-resistance-and-biomarke,NSCLC,clinical_trial,Hazard Ratio (OS),9.5,,n=111,stage I‑II resected lung cancer,,secondary_endpoint
novel-molecular-mechanisms-driving-cancer-metastasis::hoon::4,Dave Hoon,University of ???,novel-molecular-mechanisms-driving-cancer-metastasis,melanoma,preclinical,Overall survival,HR 0.45 for high KPC1 vs low KPC1,95% CI 0.30‑0.68,n=212 melanoma patients,all‑stage melanoma,,primary_endpoint_met
novel-molecular-mechanisms-driving-cancer-metastasis::kadlecky::5,Jan Kadlecky,University of ???,novel-molecular-mechanisms-driving-cancer-metastasis,breast cancer,preclinical,Relapse‑free survival,HR 2.1 for Jagged1‑positive lymph node cells,95% CI 1.4‑3.2,n=112 patients (matched primary‑node cohort),breast cancer patients,,secondary_endpoint
off-the-shelf-cell-therapies-for-cancer-and-beyond::locatelli::1,Franco Locatelli,"Rome, Italy",off-the-shelf-cell-therapies-for-cancer-and-beyond,B-cell malignancies; multiple myeloma; T-cell acute lymphoblastic leukemia; acute myeloid leukemia; neuroblastoma; solid tumors,mixed,CR rate,100%,,n=19,pediatric B‑ALL treated with allogeneic CD19 CAR‑T,,interim
off-the-shelf-cell-therapies-for-cancer-and-beyond::locatelli::1,Franco Locatelli,"Rome, Italy",off-the-shelf-cell-therapies-for-cancer-and-beyond,B-cell malignancies; multiple myeloma; T-cell acute lymphoblastic leukemia; acute myeloid leukemia; neuroblastoma; solid tumors,mixed,MRD‑negative CR,100%,,n=19,same cohort,,interim
off-the-shelf-cell-therapies-for-cancer-and-beyond::locatelli::1,Franco Locatelli,"Rome, Italy",off-the-shelf-cell-therapies-for-cancer-and-beyond,B-cell malignancies; multiple myeloma; T-cell acute lymphoblastic leukemia; acute myeloid leukemia; neuroblastoma; solid tumors,mixed,3‑year PFS,42%,,n=19,same cohort,,interim
off-the-shelf-cell-therapies-for-cancer-and-beyond::locatelli::1,Franco Locatelli,"Rome, Italy",off-the-shelf-cell-therapies-for-cancer-and-beyond,B-cell malignancies; multiple myeloma; T-cell acute lymphoblastic leukemia; acute myeloid leukemia; neuroblastoma; solid tumors,mixed,CR rate (CD7 CAR‑T),100% (2/2 MRD‑negative),,n=2,allogeneic CD7 CAR‑T in T‑ALL/AML,,interim
off-the-shelf-cell-therapies-for-cancer-and-beyond::locatelli::1,Franco Locatelli,"Rome, Italy",off-the-shelf-cell-therapies-for-cancer-and-beyond,B-cell malignancies; multiple myeloma; T-cell acute lymphoblastic leukemia; acute myeloid leukemia; neuroblastoma; solid tumors,mixed,5‑year EFS (GD2 CAR‑T neuroblastoma low burden),>50%,,n=35,neuroblastoma patients with low tumor burden,,interim
off-the-shelf-cell-therapies-for-cancer-and-beyond::rezvani::2,Katy Rezvani,MD Anderson Cancer Center,off-the-shelf-cell-therapies-for-cancer-and-beyond,hematologic malignancies; Hodgkin lymphoma; diffuse large B‑cell lymphoma; solid tumors; glioblastoma,phase_1,ORR,>90%,,n=42,relapsed/refractory Hodgkin lymphoma (AFM13 + CAR‑NK),,interim
off-the-shelf-cell-therapies-for-cancer-and-beyond::rezvani::2,Katy Rezvani,MD Anderson Cancer Center,off-the-shelf-cell-therapies-for-cancer-and-beyond,hematologic malignancies; Hodgkin lymphoma; diffuse large B‑cell lymphoma; solid tumors; glioblastoma,phase_1,CR rate,66%,,n=42,same cohort,,interim
